"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"Polda Sulsel peduli gempa dan tsunami Sulteng III
Selengkapnya..
&gt;&gt;https://t.co/SH4FJSL7xt https://t.co/5hbNUsjTOk",FALSE,0,NA,2018-10-16 02:43:31,FALSE,NA,"1052027228874334208",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","polsek_bola",0,FALSE,FALSE,NA,NA
"Do'akan saudara-saudara kita di Palu dan sekitarnya, yang terkena musibah gempa dan ancaman tsunami. Semoga Allah S… https://t.co/Za5xN27p8k",FALSE,2,NA,2018-10-16 02:38:59,TRUE,NA,"1052026088925188097",NA,"<a href=""http://twittbot.net/"" rel=""nofollow"">twittbot.net</a>","pksart",2,FALSE,FALSE,NA,NA
"Bonek Sampaikan Hasil Penggalangan Dana untuk Korban Gempa dan Tsunami di Sulteng https://t.co/F3jJA9Pheq",FALSE,0,NA,2018-10-16 02:35:56,FALSE,NA,"1052025319484317697",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","tribunSUPERBALL",0,FALSE,FALSE,NA,NA
"Bonek Sampaikan Hasil Penggalangan Dana untuk Korban Gempa dan Tsunami di Sulteng https://t.co/DVVP2vLnw5",FALSE,0,NA,2018-10-16 02:35:53,FALSE,NA,"1052025306033217536",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","BolaSportcom",0,FALSE,FALSE,NA,NA
"Dana Rp342 Juta untuk Korban Gempa &amp; Tsunami Sulteng https://t.co/Zwkt8WuDtE https://t.co/5mZ5pOLVon",FALSE,0,NA,2018-10-16 02:22:47,FALSE,NA,"1052022012141588481",NA,"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>","BabelPos",0,FALSE,FALSE,NA,NA
"Pemprov Sulteng Akan Bangun 1.200 Huntara untuk Korban Gempa ... - Nasional https://t.co/L6LoG7Erhz (Blog) https://t.co/sipUIcuRSx",FALSE,0,NA,2018-10-16 02:22:03,FALSE,NA,"1052021825834635264",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","SuaraPalu",0,FALSE,FALSE,NA,NA
"Polda sulsel peduli gempa dan tsunami sulteng III https://t.co/dPhuduI0Vz",FALSE,0,NA,2018-10-16 02:17:31,FALSE,NA,"1052020686057865216",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","BarruPolres",0,FALSE,FALSE,NA,NA
"USN Kolaka Siap Tampung Mahasiswa Korban Gempa dan Tsunami di Sulteng https://t.co/rIX1knXPL3",FALSE,0,NA,2018-10-16 02:11:21,FALSE,NA,"1052019132772667393",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","akuratco",0,FALSE,FALSE,NA,NA
"Tragedi Gempa Palu 28 September 2018 mendatangkan duka yang sangat mendalam. Salah satunya hilangnya peradaban di P… https://t.co/ff0u0gXT24",FALSE,0,NA,2018-10-16 02:08:53,TRUE,NA,"1052018510421872640",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","1menitdotID",0,FALSE,FALSE,NA,NA
"PWI Malang Raya Tampung dan Salurkan Batuan ke Palu: Lowokwaru, MC – Penyaluran bantuan bagi korban gempa dan tsuna… https://t.co/luAZ9trZZR",FALSE,0,NA,2018-10-16 02:02:04,TRUE,NA,"1052016795924619264",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","SindikatMLG",0,FALSE,FALSE,NA,NA
